question,answer
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with abatacept?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with adalimumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with aldesleukin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with alefacept?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with alemtuzumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with altretamine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with amsacrine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with anakinra?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with anifrolumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with antilymphocyte immunoglobulin (horse)?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with antithymocyte immunoglobulin (rabbit)?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with apremilast?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with arsenic trioxide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with avacopan?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with azacitidine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with azathioprine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with baricitinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with basiliximab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with beclomethasone dipropionate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with belatacept?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with belimumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with belinostat?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with belumosudil?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bendamustine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with betamethasone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bexarotene?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bimekizumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bleomycin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with blinatumomab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bortezomib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bosutinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with brentuximab vedotin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with brodalumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with budesonide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with busulfan?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cabazitaxel?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with canakinumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with capecitabine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carbamazepine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carboplatin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carfilzomib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carmustine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with certolizumab pegol?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with chlorambucil?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with chloramphenicol?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with ciclesonide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cisplatin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cladribine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with clobetasol propionate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with clofarabine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with corticotropin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cortisone acetate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cyclophosphamide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cyclosporine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dacarbazine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dactinomycin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dasatinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with daunorubicin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with decitabine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with deflazacort?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with denosumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with desoximetasone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with deucravacitinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dexamethasone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dexrazoxane?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with difluocortolone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dimethyl fumarate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dinutuximab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with diroximel fumarate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with docetaxel?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with doxorubicin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with eculizumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with efalizumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with efgartigimod alfa?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with emapalumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with epirubicin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with erenumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with eribulin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with estramustine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with etanercept?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with etoposide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with everolimus?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with filgotinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fingolimod?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with floxuridine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with flucytosine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fludarabine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fludrocortisone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with flumethasone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with flunisolide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluocinolone acetonide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluocinonide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluocortolone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluorometholone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluorouracil?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluprednisolone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluticasone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluticasone furoate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluticasone propionate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with gallium nitrate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with sucralfate (oral)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with clorazepate?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cyclosporine (oral route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with beclomethasone nasal?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with famotidine and ibuprofen?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with phentermine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with hydrocortisone (oral)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with diclofenac topical system (patch)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with clonidine (transdermal)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with selegiline (oral)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with tocilizumab?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dexbrompheniramine and acetaminophen caplets?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fluvoxamine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with sertraline?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cefprozil?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with amlodipine and perindopril?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with hyoscyamine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with doxylamine succinate?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with sodium phosphate dibasic and sodium phosphate monobasic (oral route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with azilsartan medoxomil?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with retin-a?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with mirtazapine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with trazodone (oral route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with camphor and menthol patch?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with ergoloid mesylates?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with sulindac?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with hydroxychloroquine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with calcium phosphate?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with citalopram?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with zoledronic acid?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with benzphetamine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with piperacillin and tazobactam?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with diclofenac sodium and menthol?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with acrivastine and pseudoephedrine (oral route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with montelukast?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with isosorbide mononitrate?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with tacrolimus topical?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with minoxidil?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with etoposide (injection)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with sulfur and sulfacetamide cream and gel?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with alprostadil (injectable and transurethral)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with pramoxine and hydrocortisone rectal cream?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with desipramine (oral route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with nitroglycerin (transdermal)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with adalimumab-atto (subcutaneous route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with diclofenac topical solution?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with paliperidone (injection)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with acetaminophen and dextromethorphan?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with metoprolol (oral route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fosamprenavir?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with diazepam nasal?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with ampicillin (oral)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with fentanyl (buccal/sublingual)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with ceftaroline?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with aspirin?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with spironolactone?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with meropenem and vaborbactam?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with viloxazine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cefpodoxime?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with risankizumab?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with diphenhydramine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with clocortolone topical?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with formoterol and mometasone?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with rabeprazole?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with ibandronate (oral/injection)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carbetapentane and chlorpheniramine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with buprenorphine (oral/buccal)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dexamethasone (oral)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cefoxitin?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with aztreonam (inhalation)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with isradipine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cefotaxime?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with ritonavir?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with hydrocodone (oral)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with adalimumab-aqvh (subcutaneous route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with orlistat?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with hydromorphone (oral)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with nitroglycerin (sublingual)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with hydrochlorothiazide and irbesartan?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with amcinonide topical?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with amantadine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with ketoprofen?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with mometasone topical?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with oxycodone?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with brivaracetam (oral/injection)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with atenolol?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with betamethasone and calcipotriene topical?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carvedilol?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dimenhydrinate?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with clonazepam?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with amphetamine and dextroamphetamine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with auranofin?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dapagliflozin and metformin?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with canagliflozin and metformin?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with amoxicillin (oral route)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dexchlorpheniramine and phenylephrine?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cefotetan?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with insulin (inhalation)?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with levetiracetam tablets?,no
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with furosemide (oral/injection)?,no
